title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
Rudyard Kipling's The Jungle Book,,United States,English,111,30000000,43200000,25/12/1994,N/A,N/A,,Stephen Sommers,"['Edward S. Feldman', 'Raju Patel']","['The Jungle Book', 'and', 'The Second Jungle Book', 'by', 'Rudyard Kipling']","['Jason Scott Lee', 'Cary Elwes', 'Lena Headey', 'Sam Neill', 'John Cleese']",Basil Poledouris,"['Buena Vista Pictures', '(North America and other select territories)', 'MDP Worldwide', '(all other territories)']",Juan Ruiz AnchÃ­a,Bob Ducsay,"['Stephen Sommers', 'Ronald Yanover', 'Mark Geldman']"
Heavyweights,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,100,,17600000,17/02/1995,6.7,42,29%,Steven Brill,"['Roger Birnbaum', 'Joe Roth', 'Morgan Michael Fottrell', 'Charles J.D. Schlissel', 'Judd Apatow', 'Jack Giarraputo']",,"['Tom McGowan', 'Aaron Schwartz', 'Shaun Weiss', 'Tom Hodges', 'Leah Lail', 'Paul Feig', 'Kenan Thompson', 'David Bowe', 'Max Goldblatt', 'Robert Zalkind', 'Patrick LaBrecque', 'Jeffrey Tambor', 'Jerry Stiller', 'Anne Meara', 'Ben Stiller']",J. A. C. Redford,Buena Vista Pictures,Victor Hammer,C. Timothy O'Meara,
Man of the House,"['Walt Disney Pictures', 'All Girl Productions', 'Orr & Cruickshank Productions']",United States,English,96,22000000,40070995,03/03/1995,5.4,35,9%,James Orr,"['Bonnie Bruckheimer', 'Marty Katz']",,"['Chevy Chase', 'Farrah Fawcett', 'Jonathan Taylor Thomas', 'George Wendt']",Mark Mancina,Buena Vista Pictures,Jamie Anderson,Harry Keramidas,"['James Orr', 'Jim Cruickshank']"
Tall Tale,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,98,32000000,11000000,24/03/1995,5.9,N/A,50%,Jeremiah S. Chechik,"['Roger Birnbaum', 'Joe Roth']",,"['Scott Glenn', 'Oliver Platt', 'Nick Stahl', 'Stephen Lang', 'Roger Aaron Brown', ""Catherine O'Hara"", 'Patrick Swayze']",Randy Edelman,Buena Vista Pictures,Janusz KamiÅ„ski,Richard Chew,
A Goofy Movie,,United States,English,78,,35300000,07/04/1995,6.9,N/A,58%,Kevin Lima,Dan Rounds,"['Robert Taylor', 'Michael Peraza Jr.']","['Bill Farmer', 'Jason Marsden', 'Jim Cummings', 'Kellie Martin', 'Rob Paulsen', 'Wallace Shawn', 'Jenna von OÃ¿']",Carter Burwell,Buena Vista Pictures Distribution,,Gregory Perler,"['Jymn Magon', 'Chris Matheson', 'Brian Pimental']"
Pocahontas,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,81,55000000,346100000,23/06/1995,6.7,58,55%,"['Mike Gabriel', 'Eric Goldberg']",Jim Pentecost,Pocahontas,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Linda Hunt', 'Danny Mann', 'Billy Connolly', 'Frank Welker']",Alan Menken,Buena Vista Pictures,,H. Lee Peterson,"['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']"
Operation Dumbo Drop,"['Walt Disney Pictures', 'Interscope Communications', 'PolyGram Filmed Entertainment']",,"['English', 'Vietnamese']",108,24000000,24670346,28/07/1995,5.1,48,31%,Simon Wincer,"['Diane Nabatoff', 'David Madden']",,"['Danny Glover', 'Ray Liotta', 'Denis Leary', 'Doug E. Doug', 'Corin Nemec']",David Newman,Buena Vista Pictures,Russell Boyd,O. Nicholas Brown,"['Gene Quintano', 'Jim Kouf']"
A Kid in King Arthur's Court,"['Walt Disney Pictures', 'Trimark Pictures', 'Tapestry Films']","['United Kingdom', 'United States']",English,89,15000000,13400000,11/08/1995,4.7,34,5%,Michael Gottlieb,"['Peter Abrams', 'J.P. Guerin', 'Robert L. Levy']",,"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']",J. A. C. Redford,"['Buena Vista Pictures', '(United States)', 'Trimark Pictures (International)']",LÃ¡szlÃ³ GÃ¡rdonyi,"['Anita Brandt-Burgoyne', 'Michael Ripps']",
The Big Green,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,99,12000000,17700000,29/09/1995,5.6,N/A,0%,Holly Goldberg Sloan,"['Dennis Bishop', 'Roger Birnbaum']",,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",Randy Edelman,Buena Vista Pictures,Ralf D. Bode,John F. Link,
Frank and Ollie,"['Walt Disney Pictures', 'Theodore Thomas Productions']",United States,English,89,,,22/01/1995,7.8,N/A,88%,Theodore Thomas,"['Kuniko Okubo', 'Theodore Thomas']",,"['Frank Thomas', 'Ollie Johnston']",John Reynolds,Buena Vista Pictures,Erik Daarstad,Kathryn Camp,
Toy Story,,United States,English,81,30000000,373000000,19/11/1995,8.3,95,100%,John Lasseter,"['Bonnie Arnold', 'Ralph Guggenheim']",,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten']",Randy Newman,Buena Vista Pictures Distribution,,"['Robert Gordon', 'Lee Unkrich']","['Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']"
Tom and Huck,Walt Disney Pictures,United States,English,92,,23900000,22/12/1995,5.5,N/A,25%,Peter Hewitt,"['Laurence Mark', 'Stephen Sommers']",,"['Jonathan Taylor Thomas', 'Brad Renfro']",Stephen Endelman,Buena Vista Pictures,Bobby Bukowski,David Freeman,"['Stephen Sommers', 'David Loughery']"
Muppet Treasure Island,"['Walt Disney Pictures', 'Jim Henson Productions']",United States,English,100,31000000,34300000,16/02/1996,7,64,70%,Brian Henson,"['Martin G. Baker', 'Brian Henson']","['Treasure Island', 'by', 'Robert Louis Stevenson']","['Tim Curry', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson', 'Kevin Clash', 'Frank Oz']",Hans Zimmer,Buena Vista Pictures Distribution,John Fenner,Michael Jablow,"['Jerry Juhl', 'Kirk R. Thatcher', 'James V. Hart']"
Homeward Bound II: Lost in San Francisco,Walt Disney Pictures,United States,English,89,,32700000,08/03/1996,6,N/A,53%,David R. Ellis,Barry Jossen,"['Characters', 'by', 'Sheila Burnford']","['Michael J. Fox', 'Sally Field', 'Ralph Waite', 'Robert Hays', 'Kim Greist', 'Veronica Lauren', 'Kevin Chevalia', 'Benj Thall']",Bruce Broughton,Buena Vista Pictures,Jack Conroy,"['Peter E. Berger', 'Michael A. Stevenson']",
James and the Giant Peach,"['Walt Disney Pictures', 'Allied Filmmakers', 'Skellington Productions']","['United Kingdom', 'United States']",English,79,38000000,28900000,12/04/1996,6.7,78,91%,Henry Selick,"['Denise Di Novi', 'Tim Burton']","['James and the Giant Peach', 'by', 'Roald Dahl']","['Paul Terry', 'Simon Callow', 'Richard Dreyfuss', 'Jane Leeves', 'Joanna Lumley', 'Miriam Margolyes', 'Susan Sarandon', 'Pete Postlethwaite', 'David Thewlis']",Randy Newman,"['Buena Vista Pictures', '(Global)', 'Guild Film Distribution', '(United Kingdom)']","['Pete Kozachik', 'Hiro Narita']",Stan Webb,"['Karey Kirkpatrick', 'Jonathan Roberts', 'Steve Bloom']"
The Hunchback of Notre Dame,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,91,100000000,325300000,21/06/1996,6.9,74,71%,"['Gary Trousdale', 'Kirk Wise']",Don Hahn,"['The Hunchback of Notre-Dame', 'by', 'Victor Hugo']","['Tom Hulce', 'Demi Moore', 'Tony Jay', 'Kevin Kline', 'Paul Kandel', 'Jason Alexander', 'Charles Kimbrough', 'Mary Wickes', 'David Ogden Stiers']",Alan Menken,Buena Vista Pictures,,Ellen Keneshea,"['Tab Murphy', 'Irene Mecchi', 'Bob Tzudiker', 'Noni White', 'Jonathan Roberts']"
First Kid,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,101,15000000,26491793,30/08/1996,5.3,48,20%,David M. Evans,Roger Birnbaum,,"['Sinbad', 'Robert Guillaume', 'Timothy Busfield']",Richard Gibbs,Buena Vista Pictures,Anthony B. Richmond,Harry Keramidas,
D3: The Mighty Ducks,"['Walt Disney Pictures', 'Avnet-Kerner Productions']",United States,English,104,,22900000,04/10/1996,5.5,N/A,20%,Robert Lieberman,"['Jordan Kerner', 'Jon Avnet']","['Characters', 'by Steven Brill']","['Emilio Estevez', 'Jeffrey Nordling', 'Heidi Kling', 'Joss Ackland']",J. A. C. Redford,Buena Vista Pictures,David Hennings,Patrick Lussier,"['Steven Brill', 'Jim Burnstein']"
101 Dalmatians,"['Walt Disney Pictures', 'Great Oaks Entertainment']",United States,English,103,75000000,320700000,27/11/1996,5.7,49,41%,Stephen Herek,"['John Hughes', 'Ricardo Mestres']","['The Hundred and One Dalmatians', 'by', 'Dodie Smith']","['Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright']",Michael Kamen,Buena Vista Pictures Distribution,Adrian Biddle,Trudy Ship,John Hughes
That Darn Cat,"['Walt Disney Pictures', 'Robert Simonds Productions']",United States,English,86,,18300000,14/02/1997,4.7,36,13%,Bob Spiers,Robert Simonds,"['Undercover Cat', 'by Gordon Gordon', 'Mildred Gordon']","['Christina Ricci', 'Doug E. Doug', 'George Dzundza', 'Peter Boyle', 'Michael McKean', 'Bess Armstrong']",Richard Kendall Gibbs,Buena Vista Pictures,Jerzy Zielinski,Roger Barton,"['Scott Alexander', 'Larry Karaszewski']"
Jungle 2 Jungle,"['Walt Disney Pictures', 'TF1 International']","['United States', 'France']",English,105,32000000,59900000,07/03/1997,5.2,42,19%,John Pasquin,"['Richard Baker', 'Brad Krevoy']",,"['Tim Allen', 'Martin Short', 'Lolita Davidovich', 'David Ogden Stiers', 'JoBeth Williams']",Michael Convertino,"['Buena Vista Pictures', '(United States)', 'Ariane Films', '(France)']",Tony Pierce-Roberts,Michael A. Stevenson,
Hercules,,United States,English,93,85000000,252700000,13/06/1997,7.3,74,84%,"['Ron Clements', 'John Musker']","['Alice Dewey', 'Ron Clements', 'John Musker']",Heracles,"['Tate Donovan', 'Danny DeVito', 'James Woods', 'Susan Egan', 'Rip Torn']",Alan Menken,Buena Vista Pictures Distribution,,Tom Finan,"['Ron Clements', 'John Musker', 'Donald McEnery', 'Bob Shaw', 'Irene Mecchi']"
George of the Jungle,"['Walt Disney Pictures', 'Mandeville Films', 'Jay Ward Productions', 'The Kerner Entertainment Company']",United States,English,92,55000000,174400000,16/07/1997,5.5,53,56%,Sam Weisman,"['David Hoberman', 'Jordan Kerner', 'Jon Avnet']","['George of the Jungle', 'by', 'Jay Ward']","['Brendan Fraser', 'Leslie Mann', 'Thomas Haden Church', 'Holland Taylor', 'Richard Roundtree', 'John Cleese']",Marc Shaiman,Buena Vista Pictures Distribution,Thomas E. Ackerman,"['Kent Beyda', 'Roger Bondelli', 'Stuart PappÃ©']","['Dana Olsen', 'Audrey Wells']"
