title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
The Greatest Game Ever Played,Walt Disney Pictures,United States,English,120,25000000,15400000,30/09/2005,7.4,55,63%,Bill Paxton,"['David Blocker', 'Larry Brezner', 'Mark Frost']","['The Greatest Game Ever Played: A True Story', 'by Mark Frost']","['Shia LaBeouf', 'Stephen Dillane', 'Peter Firth', 'Elias Koteas']",Brian Tyler,Buena Vista Pictures,Shane Hurlbut,Elliot Graham,Mark Frost
Chicken Little,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,81,150000000,314400000,30/10/2005,5.7,48,37%,Mark Dindal,Randy Fullmer,Chicken Little,"['Zach Braff', 'Joan Cusack', 'Dan Molina', 'Steve Zahn', 'Garry Marshall', 'Amy Sedaris', 'Mark Walton', 'Don Knotts']",John Debney,Buena Vista Pictures,,Dan Molina,"['Steve Bencich', 'Ron J. Friedman', 'Ron Anderson']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Walt Disney Pictures', 'Walden Media']","['United Kingdom', 'United States']",English,143,180000000,745000000,07/12/2005,6.9,75,76%,Andrew Adamson,"['Mark Johnson', 'Phillip Steuer']","['The Lion, the Witch and the Wardrobe', 'by', 'C. S. Lewis']","['William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Tilda Swinton', 'James McAvoy', 'Jim Broadbent', 'Liam Neeson']",Harry Gregson-Williams,Buena Vista Pictures,Donald McAlpine,"['Sim Evan-Jones', 'Jim May']","['Ann Peacock', 'Andrew Adamson', 'Christopher Markus Stephen McFeely']"
Glory Road,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Texas Western Productions', 'Glory Road Productions']",United States,English,106,30000000,42900000,13/01/2006,7.2,58,100%,James Gartner,['Jerry Bruckheimer'],Glory Road by Don Haskins and Daniel Wetzel,"['Josh Lucas', 'Derek Luke', 'Jon Voight']",Trevor Rabin,Buena Vista Pictures,"['Jeffrey L. Kimball', 'John Toon']","['Jason Hellmann', 'John Wright']","['Chris Cleveland', 'Bettina Gilois', 'Gregory Allen Howard']"
Roving Mars,"['Walt Disney Pictures', 'White Mountain Films', 'The Kennedy/Marshall Company']",United States,English,40,1000000,11000000,27/01/2006,7.2,58,,George Butler,"['George Butler', 'Frank Marshall']",,,"['Philip Glass', 'Sigur RÃ³s']",Buena Vista Pictures,T.C. Christensen,Nancy Baker,
Eight Below,"['Walt Disney Pictures', 'Spyglass Entertainment', 'Mandeville Films', 'The Kennedy/Marshall Company']",United States,English,120,40000000,120500000,17/02/2006,7.3,64,72%,Frank Marshall,"['Patrick Crowley', 'David Hoberman']","['ToshirÃ´ IshidÃ´', 'Koreyoshi Kurahara', 'Tatsuo Nogami', 'Susumu Saji']","['Paul Walker', 'Bruce Greenwood', 'Moon Bloodgood', 'Jason Biggs']",Mark Isham,Buena Vista Pictures,Don Burgess,Christopher Rouse,David DiGillio
The Shaggy Dog,"['Walt Disney Pictures', 'Mandeville Films', 'Boxing Cat Films']",United States,English,99,50000000,87100000,10/03/2006,4.4,43,26%,Brian Robbins,"['David Hoberman', 'Tim Allen']","['The Hound of Florence', 'by', 'Felix Salten']","['Tim Allen', 'Robert Downey Jr.', 'Kristin Davis', 'Danny Glover', 'Spencer Breslin', 'Philip Baker Hall']",Alan Menken,Buena Vista Pictures,Gabriel Beristain,Ned Bastille,
The Wild,"['Walt Disney Pictures', 'Hoytyboy Pictures', 'Sir Zip Productions', 'Contrafilm', 'C.O.R.E. Feature Animation']","['United States', 'Canada']",English,82,80000000,102300000,14/04/2006,5.3,47,50%,"Steve ""Spaz"" Williams","['Clint Goldman', 'Beau Flynn']",,"['Kiefer Sutherland', 'Jim Belushi', 'Eddie Izzard', 'Janeane Garofalo', 'William Shatner', 'Richard Kind', 'Greg Cipes', 'Patrick Warburton']",Alan Silvestri,Buena Vista Pictures,,"['Scott Balcerek', 'Steven L. Wagner']","['Ed Decter', 'John J. Strauss', 'Mark Gibson', 'Philip Halprin']"
Cars,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,117,120000000,462000000,26/05/2006,7.1,73,74%,John Lasseter,Darla K. Anderson,,"['Owen Wilson', 'Paul Newman', 'Bonnie Hunt', 'Larry the Cable Guy']",Randy Newman,Buena Vista Pictures Distribution,"['Jeremy Lasky', 'Jean Claude Kalache']",Ken Schretzmann,"['Dan Fogelman', 'John Lasseter', 'Joe Ranft', 'Kiel Murray', 'Phil Lorin', 'Jorgen Klubien']"
Pirates of the Caribbean: Dead Man's Chest,,United States,English,151,225000000,1066000000,24/06/2006,7.3,53,53%,Gore Verbinski,Jerry Bruckheimer,"['Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan SkarsgÃ¥rd', 'Bill Nighy', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']",Hans Zimmer,Buena Vista Pictures,Dariusz Wolski,"['Craig Wood', 'Stephen Rivkin']",
Invincible,Walt Disney Pictures,United States,English,104,30000000,58500000,25/08/2006,7.1,63,72%,Ericson Core,"['Gordon Gray', 'Mark Ciardi']",,"['Mark Wahlberg', 'Greg Kinnear', 'Elizabeth Banks', 'Michael Rispoli']",Mark Isham,Buena Vista Pictures,Ericson Core,Gerald B. Greenberg,
The Nightmare Before Christmas,"['Touchstone Pictures', 'Skellington Productions']",United States,English,76,26000000,91500000,29/10/1993,8,82,95%,Henry Selick,"['Tim Burton', 'Denise Di Novi']","['Characters', 'by Tim Burton']","['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey', 'Glenn Shadix', 'Paul Reubens', 'Ken Page', 'Ed Ivory']",Danny Elfman,Buena Vista Pictures Distribution,Pete Kozachik,Stan Webb,Caroline Thompson
The Santa Clause 3: The Escape Clause,"['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']",United States,English,92,12000000,110800000,03/11/2006,4.8,32,17%,Michael Lembeck,"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']","['Characters created', 'by', 'Leo Benvenuti', 'Steve Rudnick']","['Tim Allen', 'Elizabeth Mitchell', 'Judge Reinhold', 'Wendy Crewson', 'Ann-Margret', 'Eric Lloyd', 'Spencer Breslin', 'Liliana Mumy', 'Alan Arkin', 'Martin Short']",George S. Clinton,Buena Vista Pictures,Robbie Greenberg,David Finfer,
Bridge to Terabithia,,United States,English,95,20,138000000,16/02/2007,7.1,74,85%,GÃ¡bor CsupÃ³,"['David L. Paterson', 'Lauren Levine', 'Hal Lieberman']","['Bridge to Terabithia', 'by', 'Katherine Paterson']","['Josh Hutcherson', 'AnnaSophia Robb', 'Bailee Madison', 'Robert Patrick', 'Zooey Deschanel']",Aaron Zigman,"['Buena Vista Pictures Distribution', '(United States)', 'Summit Entertainment', '(International)']",Michael Chapman,John Gilbert,"['David L. Paterson', 'Jeff Stockwell']"
Meet the Robinsons,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,94,150000000,169300000,23/03/2007,6.8,61,67%,Stephen Anderson,Dorothy McKim,"['A Day with Wilbur Robinson', 'by', 'William Joyce']","['Daniel Hansen', 'Jordan Fry', 'Wesley Singerman', 'Angela Bassett', 'Tom Selleck', 'Harland Williams', 'Laurie Metcalf', 'Nicole Sullivan', 'Adam West', 'Ethan Sandler', 'Tom Kenny', 'Stephen Anderson']",Danny Elfman,Buena Vista Pictures Distribution,,Ellen Keneshea,"['Jon Bernstein', 'Michelle Spritz', 'Don Hall', 'Nathan Greno', 'Aurion Redson', 'Joe Mateo', 'Stephen Anderson']"
Pirates of the Caribbean: At World's End,,United States,English,168,300000000,961000000,19/05/2007,7.1,50,44%,Gore Verbinski,Jerry Bruckheimer,"['Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan SkarsgÃ¥rd', 'Bill Nighy', 'Chow Yun-fat', 'Geoffrey Rush', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']",Hans Zimmer,Buena Vista Pictures,Dariusz Wolski,"['Craig Wood', 'Stephen Rivkin']",
Ratatouille,,United States,English,111,150000000,620700000,22/06/2007,8,96,96%,Brad Bird,Brad Lewis,,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Janeane Garofalo', 'Brad Garrett', ""Peter O'Toole"", 'Brian Dennehy', 'Peter Sohn', 'Will Arnett']",Michael Giacchino,Buena Vista Pictures Distribution,"['Sharon Calahan', 'Robert Anderson']","['Darren T. Holmes', 'Stan Webb']",Brad Bird
Underdog,,United States,English,82,25000000,65300000,03/08/2007,4.7,37,16%,Frederik Du Chau,"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Jay Polstein']",['W. Watts Biggers'],"['Jim Belushi', 'Peter Dinklage', 'John Slattery', 'Patrick Warburton', 'Brad Garrett', 'Amy Adams', 'Jason Lee']",Randy Edelman,Buena Vista Pictures Distribution,David Eggby,Tom Finan,
The Pixar Story,"['Leslie Iwerks Productions', 'Pixar Animation Studios']",,English,87,,,28/08/2007,7.8,N/A,86%,Leslie Iwerks,Leslie Iwerks,,,Jeff Beal,"['Walt Disney Studios', 'Motion Pictures']",,"['Leslie Iwerks', 'Stephen Myers, A.C.E']",
The Game Plan,"['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,110,22000000,146600000,23/09/2007,6.1,44,29%,Andy Fickman,"['Mark Ciardi', 'Gordon Gray']",,"['Dwayne ""The Rock"" Johnson', 'Madison Pettis', 'Kyra Sedgwick', 'Morris Chestnut', 'Roselyn Sanchez']",Nathan Wang,Buena Vista Pictures,Greg Gardiner,Michael Jablow,"['Nichole Millard', 'Kathryn Price']"
Enchanted,,United States,English,107,85000000,340500000,20/10/2007,7,75,93%,Kevin Lima,"['Barry Josephson', 'Barry Sonnenfeld']",,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel', 'Susan Sarandon']",Alan Menken,Walt Disney Studios Motion Pictures,Don Burgess,"['Gregory Perler', 'Stephen A. Rotter']",
National Treasure: Book of Secrets,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']",United States,English,124,130000000,459200000,21/12/2007,6.5,48,36%,Jon Turteltaub,"['Jerry Bruckheimer', 'Jon Turteltaub']","['Characters', 'by', 'Jim Kouf', 'Oren Aviv', 'Charles Segars']","['Nicolas Cage', 'Jon Voight', 'Harvey Keitel', 'Ed Harris', 'Diane Kruger', 'Justin Bartha', 'Bruce Greenwood', 'Helen Mirren']",Trevor Rabin,Walt Disney Studios Motion Pictures,"['John Schwartzman', 'Amir Mokri']","['William Goldenberg', 'David Rennie']","['Cormac Wibberley', 'Marianne Wibberley']"
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"['Walt Disney Pictures', 'PACE']",United States,English,74,7000000,70600000,01/02/2008,2.4,59,71%,Bruce Hendricks,Art Repola,,"['Miley Cyrus', 'Jonas Brothers', 'Kenny Ortega', 'Billy Ray Cyrus']","['Matthew Gerrard', 'Robbie Nevil', 'Miley Cyrus', 'Jamie Houston', 'Tim James']","['Walt Disney Studios', 'Motion Pictures']",Mitchell Amundsen,Michael Tronick,
College Road Trip,"['Walt Disney Pictures', 'Gunn Films', 'Head Gear Films']",United States,English,83,25000000,51500000,07/03/2008,4.3,36,12%,Roger Kumble,Andrew Gunn,,"['Martin Lawrence', 'Raven Symone', 'Donny Osmond']",Edward Shearmur,"['Walt Disney Studios', 'Motion Pictures']",Theo van de Sande,Roger Bondelli,
The Chronicles of Narnia: Prince Caspian,"['Walt Disney Pictures', 'Walden Media']","['United Kingdom', 'United States']",English,150,225000000,419700000,07/05/2008,6.5,62,66%,Andrew Adamson,"['Mark Johnson', 'Andrew Adamson', 'Philip Steuer']","['Prince Caspian', 'by', 'C. S. Lewis']","['Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell']",Harry Gregson-Williams,Walt Disney Studios Motion Pictures,Karl Walter Lindenlaub,Sim Evan-Jones,"['Andrew Adamson', 'Christopher Markus Stephen McFeely']"
WALL-E,,United States,,97,180000000,521300000,23/06/2008,8.4,95,95%,Andrew Stanton,Jim Morris,,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']",Thomas Newman,Walt Disney Studios Motion Pictures,"['Jeremy Lasky', 'Danielle Feinberg']",Stephen Schaffer,"['Andrew Stanton', 'Jim Reardon']"
Beverly Hills Chihuahua,"['Walt Disney Pictures', 'Mandeville Films', 'Smart Entertainment']",United States,English,91,20000000,149300000,03/10/2008,3.8,41,40%,Raja Gosnell,"['David Hoberman', 'Todd Lieberman', 'John Jacobs', 'Ricardo Del RÃ­o']",,"['Piper Perabo', 'Manolo Cardona', 'Jamie Lee Curtis', 'Andy GarcÃ­a', 'George Lopez', 'Drew Barrymore']",Heitor Pereira,"['Walt Disney Studios', 'Motion Pictures']",Phil MÃ©heux,Sabrina Plisco,"['Analisa LaBianco', 'Jeff Bushell']"
Morning Light,Walt Disney Pictures,United States,English,100,,275776,17/10/2008,5.8,51,33%,Mark Monroe,"['Roy E. Disney', 'Leslie DeMeuse', 'Morgan Sackett']",,,,"['Walt Disney Studios', 'Motion Pictures']",,Paul Crowder,
High School Musical 3: Senior Year,"['Walt Disney Pictures', 'Borden & Rosenbush Entertainment']",United States,English,111,11000000,252900000,17/10/2008,,,,Kenny Ortega,"['Bill Borden', 'Barry Rosenbush']",,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman']",David Lawrence,Walt Disney Studios Motion Pictures,Daniel AranyÃ²,Don Brochu,
Bolt,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,96,150000000,310000000,21/11/2008,6.8,67,89%,"['Chris Williams', 'Byron Howard']",Clark Spencer,,"['John Travolta', 'Miley Cyrus']",John Powell,"['Walt Disney Studios', 'Motion Pictures']",,Tim Mertens,"['Dan Fogelman', 'Chris Williams']"
Bedtime Stories,"['Walt Disney Pictures', 'Happy Madison Productions', 'Gunn Films', 'Offspring Entertainment', 'Conman & Izzy Productions']",United States,English,99,80000000,212900000,25/12/2008,6,33,27%,Adam Shankman,"['Adam Sandler', 'Andrew Gunn', 'Jack Giarraputo']",,"['Adam Sandler', 'Keri Russell', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Jonathan Pryce', 'Courteney Cox', 'Lucy Lawless', 'Teresa Palmer']",Rupert Gregson-Williams,"['Walt Disney Studios', 'Motion Pictures']",Michael Barrett,Tom Costain,"['Matt Lopez', 'Tim Herlihy']"
Jonas Brothers: The 3D Concert Experience,"['Walt Disney Pictures', 'Jonas Films']",United States,English,76,,23100000,27/02/2009,1.5,45,23%,Bruce Hendricks,"['Kevin Jonas, Sr.', 'Alan Sacks', 'Johnny Wright', 'Phil McIntyre']",,"['Kevin Jonas', 'Joe Jonas', 'Nick Jonas', 'Demi Lovato', 'Taylor Swift']",Jonas Brothers,"['Walt Disney Studios', 'Motion Pictures']","['Mitchell Amundsen', 'Reed Smoot']",Michael Tronick,
Race to Witch Mountain,"['Walt Disney Pictures', 'Gunn Films']",United States,English,98,50000000,106400000,11/03/2009,5.7,52,42%,Andy Fickman,Andrew Gunn,"['Escape to Witch Mountain', 'by', 'Alexander Key']","['Dwayne Johnson', 'AnnaSophia Robb', 'Carla Gugino', 'CiarÃ¡n Hinds', 'Alexander Ludwig', 'Tom Everett Scott', 'Chris Marquette']",Trevor Rabin,"['Walt Disney Studios', 'Motion Pictures']",Greg Gardiner,David Rennie,"['Matt Lopez', 'Mark Bomback']"
Hannah Montana: The Movie,"['Walt Disney Pictures', ""It's a Laugh Productions"", 'Millar Gough Ink']",United States,English,97,30000000,169.2,10/04/2009,4.5,47,43%,Peter Chelsom,"['David Blocker', 'Billy Ray Cyrus', 'Alfred Gough', 'Miles Millar', 'Steven Peterman', 'Michael Poryes']","['Hannah Montana', 'by', 'Michael Poryes', 'Rich Correll', ""Barry O'Brien""]","['Miley Cyrus', 'Emily Osment', 'Jason Earles', 'Melora Hardin', 'Vanessa Williams', 'Billy Ray Cyrus']",John Debney,Walt Disney Studios Motion Pictures,David Hennings,Virginia Katz,
Earth,"['BBC Worldwide', 'Greenlight Media', 'Discovery Channel', 'BBC Natural History Unit']","['France', 'United Kingdom', 'Germany', 'United States']",English,99,47000000,109000000,10/10/2007,8,72,86%,"['Alastair Fothergill', 'Mark Linfield']","['Alix Tidmarsh', 'Sophokles Tasioulius']",,,"['George Fenton', 'Berliner Philharmoniker']","['Gaumount (France)', 'Lionsgate UK (United Kingdom)', 'Universum Film (Germany)', 'Walt Disney Studios Motion Pictures (United States)']",,"['Martin Elsbury', 'Vartan Nazarian']",
Up,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,96,175000000,735100000,29/05/2009,8.2,88,98%,Pete Docter,Jonas Rivera,,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Jean-Claudie Kalache']",Kevin Nolting,"['Bob Peterson', 'Pete Docter']"
Lilly the Witch: The Dragon and the Magic Book,,"['Germany', 'Austria', 'Italy', 'Spain', 'United Kingdom']",German,,,,,5.2,N/A,27%,Stefan Ruzowitzky,,,,Ian Honeyman,,,,
G-Force,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",United States,English,90,150000000,292800000,24/07/2009,5.1,41,22%,Hoyt H. Yeatman Jr.,Jerry Bruckheimer,,"['Sam Rockwell', 'Tracy Morgan', 'PenÃ©lope Cruz', 'Jon Favreau', 'Nicolas Cage', 'Steve Buscemi', 'Zach Galifianakis', 'Bill Nighy', 'Will Arnett']",Trevor Rabin,Walt Disney Studios Motion Pictures,Bojan Bazelli,"['Jason Hellmann', 'Mark Goldblatt']","['Cormac Wibberley', 'Marianne Wibberley']"
Ponyo,Studio Ghibli,Japan,Japanese,101,,,19/07/2008,7.7,86,91%,Hayao Miyazaki,Toshio Suzuki,"['The Little Mermaid', 'by', 'Hans Christian Andersen']","['Tomoko Yamaguchi', 'Kazushige Nagashima', 'YÅ«ki Amami', 'George Tokoro', 'Yuria Nara', 'Hiroki Doi', 'Rumi Hiiragi', 'Akiko Yano', 'Kazuko Yoshiyuki', 'Tomoko Naraoka']",Joe Hisaishi,Toho,Atsushi Okui,Takeshi Seyama,
Walt & El Grupo,,United States,English,,,,,6.3,55,59%,Theodore Thomas,,,,,Walt Disney Studios Motion Pictures,,,
The Book of Masters,"['The Walt Disney Company CIS', '(Russia)', 'Trite (Russia)']",Russia,Russian,101,8000000,11300000,,,,,Vadim Sokolovsky,"['Leonid Vereshchagin,', 'Marina Zhigalov-Ozkan']",Russian fairy tales,,Yuri Poteyenko,,Archil Akhvlediani,,
A Christmas Carol,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,96,175000000,325000000,03/11/2009,6.8,55,52%,Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']","['A Christmas Carol', 'by', 'Charles Dickens']","['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins', 'Robin Wright Penn', 'Cary Elwes']",Alan Silvestri,Walt Disney Studios Motion Pictures,Robert Presley,Jeremiah O'Driscoll,
Old Dogs,"['Walt Disney Pictures', 'Tapestry Films']",United States,English,88,35000000,96800000,25/11/2009,5.4,19,5%,Walt Becker,"['Andrew Panay', 'Robert L. Levy', 'Peter Abrams']",,"['John Travolta', 'Robin Williams', 'Kelly Preston', 'Seth Green', 'Ella Bleu Travolta', 'Lori Loughlin', 'Matt Dillon']",John Debney,"['Walt Disney Studios', 'Motion Pictures']",Jeffrey L. Kimball,"['Tom Lewis', 'Ryan Folsey']",
The Princess and the Frog,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,97,105000000,270000000,25/11/2009,7.1,73,85%,"['Ron Clements', 'John Musker']",Peter Del Vecho,"['The Frog Prince by Brothers Grimm', 'The Frog Princess by E. D. Baker']","['Anika Noni Rose', 'Bruno Campos', 'Keith David', 'Michael-Leon Wooley', 'Jim Cummings', 'Jennifer Cody', 'Peter Bartlett', 'Jenifer Lewis', 'Oprah Winfrey', 'Terrence Howard', 'John Goodman']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']",,Jeff Draheim,"['Ron Clements', 'John Musker', 'Rob Edwards']"
Alice in Wonderland,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']",United States,English,108,200000000,1025000000,25/02/2010,6.4,53,51%,Tim Burton,"['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']","[""Alice's Adventures in Wonderland"", 'and', 'Through the Looking-Glass', 'by', 'Lewis Carroll']","['Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Mia Wasikowska', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Danny Elfman,Walt Disney Studios Motion Pictures,Dariusz Wolski,Chris Lebenzon,Linda Woolverton
Oceans,"['PathÃ©', 'Participant Media', 'GalatÃ©e Films', 'Notro Films', 'France 2 CinÃ©ma', 'France 3 CinÃ©ma', 'Canal+', 'TPS Star', 'Alfred P. Sloan Foundation', 'Census of Marine Life']",France,French,104,80000000,82700000,17/10/2009,7.8,75,81%,"['Jacques Perrin', 'Jacques Cluzaud', '(co-director)']","['Jacques Perrin', 'Romain Legrand', 'Nicolas Mauvernay', 'Jake Eberts']",,,Bruno Coulais,PathÃ© Distribution,David Reichert,"['Catherine Mauchain', 'Vincent Schmidt']",
Prince of Persia: The Sands of Time,,United States,English,116,200000000,336400000,09/05/2010,6.6,50,37%,Mike Newell,Jerry Bruckheimer,"['Prince of Persia', 'by Jordan Mechner']","['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Toby Kebbell', 'Alfred Molina']",Harry Gregson-Williams,"['Walt Disney Studios', 'Motion Pictures']",John Seale,"['Michael Kahn', 'Martin Walsh', 'Mick Audsley']","['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']"
Toy Story 3,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,103,200000000,1067000000,12/06/2010,8.3,92,98%,Lee Unkrich,Darla K. Anderson,,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Blake Clark', 'Jeff Pidgeon', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky', 'Kim White']",Ken Schretzmann,Michael Arndt
The Sorcerer's Apprentice,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions']",United States,English,109,150000000,215300000,08/07/2010,6.1,46,40%,Jon Turteltaub,Jerry Bruckheimer,"[""The Sorcerer's Apprentice"", 'by', 'Johann Wolfgang von Goethe']","['Nicolas Cage', 'Jay Baruchel', 'Alfred Molina', 'Teresa Palmer', 'Monica Bellucci']",Trevor Rabin,"['Walt Disney Studios', 'Motion Pictures']",Bojan Bazelli,William Goldenberg,"['Doug Miro', 'Carlo Bernard', 'Matt Lopez']"
Tales from Earthsea,Studio Ghibli,Japan,Japanese,115,22000000,,29/07/2006,6.4,47,,GorÅ Miyazaki,"['Toshio Suzuki', 'Tomohiko Ishii']","['Earthsea', 'by', 'Ursula K. Le Guin']","['Bunta Sugawara', 'Junichi Okada', 'Aoi Teshima', 'YÅ«ko Tanaka']",Tamiya Terashima,Toho,,Takeshi Seyama,"['GorÅ Miyazaki', 'Keiko Niwa']"
The Crimson Wing: Mystery of the Flamingos,"['Disneynature', 'Natural Light Films', 'Kudos Pictures']","['United Kingdom', 'United States']",English,74,,,26/10/2008,7.3,N/A,75%,"['Matthew Aeberhard', 'Leander Ward']","['Matthew Aeberhard', 'Leander Ward', 'Paul Webster', '(executive producer)', 'Stephen Garrett (executive producer)']",,,The Cinematic Orchestra and Claseria,Walt Disney Studios Motion Pictures,,,
Secretariat,"['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,123,35000000,60300000,30/09/2010,7.2,61,63%,Randall Wallace,"['Mark Ciardi', 'Gordon Gray']",,"['Diane Lane', 'John Malkovich', 'Dylan Walsh', 'James Cromwell', 'Kevin Connolly', 'Scott Glenn']",Nick Glennie-Smith,"['Walt Disney Studios', 'Motion Pictures']",Dean Semler,John Wright,
Do Dooni Chaar,"['Walt Disney Pictures', 'Disney World Cinema', 'Planman Motion Pictures', 'Walt Disney Pictures India']",India,Hindi,108,,,08/10/2010,7.6,N/A,77%,Habib Faisal,Arindam Chaudhuri,,"['Rishi Kapoor', 'Neetu Singh']","['Meet Bros Anjjan', 'Ankit Tiwari']",Walt Disney Studios Motion Pictures,Anshuman Mahaley,Aarti Bajaj,"['Habib Faisal', 'Rahil Qazi']"
Tangled,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,100,260000000,592400000,14/11/2010,7.7,71,89%,"['Nathan Greno', 'Byron Howard']",Roy Conli,"['Rapunzel', 'by the', 'Brothers Grimm']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",Alan Menken,Walt Disney Studios Motion Pictures,,Tim Mertens,Dan Fogelman
The Boys: The Sherman Brothers' Story,"['Walt Disney Pictures', 'Red Hour Films']",United States,English,101,,55513,24/04/2009,7.8,78,90%,"['Gregory V. Sherman', 'Jeffrey C. Sherman']","['Gregory V. Sherman', 'Jeffrey C. Sherman', 'Executive:', 'Stuart Cornfeld', 'Ben Stiller']",,"['Richard M. Sherman', 'Robert B. Sherman']","['Richard M. Sherman', 'Robert B. Sherman']","['Walt Disney Studios', 'Motion Pictures']",Richard Numeroff,Rich Evirs,
Tron: Legacy,,United States,English,125,170000000,400100000,30/11/2010,6.8,49,51%,Joseph Kosinski,"['Sean Bailey', 'Jeffrey Silver', 'Steven Lisberger']","['Steven Lisberger', 'Bonnie MacBird']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'James Frain', 'Beau Garrett', 'Michael Sheen']",Daft Punk,Walt Disney Studios Motion Pictures,Claudio Miranda,James Haygood,"['Edward Kitsis', 'Adam Horowitz']"
Anaganaga O Dheerudu,"['Disney World Cinema', 'A Bellyful of Dreams Entertainment', 'Arka Media Works', 'Walt Disney Pictures India']",India,Telugu,,3800000,7000000,14/01/2011,,,,Prakash Kovelamudi,"['Prakash Kovelamudi', 'Shobu Yarlagadda', 'Prasad Devineni']",,"['Siddharth', 'Shruti Haasan', 'Lakshmi Manchu', 'Baby Harshitha']","['Salimâ€“Sulaiman', 'M. M. Keeravani', 'Koti', 'Mickey J Meyer', 'Ananth']",UTV Motion Pictures,Soundarrajan,Sravan Katikaneni,
Lilly the Witch: The Journey to Mandolan,Walt Disney Pictures,Germany,German,90,,,17/02/2011,4.8,N/A,,Harald Sicheritz,,,"['Alina Freund', 'Tanay Chheda']",Ian Honeyman,Walt Disney Studios Motion Pictures,Thomas Kienast,,
