title,Production company,Country,Language,Running time,Budget,Box office,Release date,overview,imdb,metascore,rotten_tomatoes,director,Produced by,Based on,cast,music,Distributed by,Cinematography,Edited by,Screenplay by
The Jungle Book 2,"['DisneyToon Studios', 'Walt Disney Pictures']","['United States', 'Australia']",English,72,20000000,135700000,14/02/2003,"Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.",5.4,38,18%,Steve Trenbirth,"['Christopher Chase', 'Mary Thorne']",,"['Haley Joel Osment', 'John Goodman', 'Mae Whitman', 'Bob Joles', 'Tony Jay', 'Phil Collins', 'John Rhys-Davies', 'Jim Cummings']",Joel McNeely,Buena Vista Pictures,,"['Christopher K. Gee', 'Peter Lonsdale']",
Piglet's Big Movie,"['DisneyToon Studios', 'Walt Disney Pictures']",United States,English,75,46000000,62900000,16/03/2003,"When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.",6.2,62,70%,Francis Glebas,Michelle Pappalardo-Robinson,"['Winnie the Pooh', 'and', 'The House at Pooh Corner', 'created', 'by', 'A. A. Milne']","['John Fiedler', 'Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'Peter Cullen', 'Kath Soucie', 'Andre Stojka', 'Tom Wheatley']","['Carl Johnson', 'Carly Simon']",Buena Vista Pictures,,Ivan Bilancio,"['Brian Hohlfeld', 'A. A. Milne']"
Finding Nemo,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,100,94000000,940300000,30/05/2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.1,90,99%,Andrew Stanton,Graham Walters,,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Thomas Newman,Buena Vista Pictures Distribution,"['Sharon Calahan', 'Jeremy Lasky']",David Ian Salter,"['Andrew Stanton', 'Bob Peterson', 'David Reynolds']"
Brother Bear,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,85,46000000,250400000,01/11/2003,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",6.8,48,37%,"['Aaron Blaise', 'Robert Walker']",Chuck Williams,,"['Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis', 'Dave Thomas', 'Jason Raize', 'D.B. Sweeney']","['Phil Collins', 'Mark Mancina']",Buena Vista Pictures,,Tim Mertens,"['Tab Murphy', 'Lorne Cameron', 'David Hoselton', 'Steve Bencich', 'Ron J. Friedman']"
Teacher's Pet,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Toon City Animation']",United States,English,74,10000000,6500000,16/01/2004,"Spot (Lane) is a dog who can talk and read. Posing as a human, he sneaks into school with his master Leonard (Flemming). Educational adventures ensue.",7.1,N/A,86%,Timothy Bj̦rklund,Stephen Swofford,"['Gary Baseman', 'Bill Steinkellner', 'Cheri Steinkellner']","['Nathan Lane', 'Shaun Fleming', 'Debra Jo Rupp', 'Kelsey Grammer', 'David Ogden Stiers', 'Jerry Stiller', 'Rosalyn Landor']",Stephen James Taylor,Buena Vista Pictures,,,"['Bill Steinkellner', 'Cheri Steinkellner']"
Home on the Range,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,76,110000000,145500000,02/04/2004,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.",5.4,50,53%,"['Will Finn', 'John Sanford']",Alice Dewey Goldstone,,"['Roseanne Barr', 'Judi Dench', 'Jennifer Tilly', 'Cuba Gooding Jr.', 'Randy Quaid', 'Steve Buscemi']",Alan Menken,Buena Vista Pictures,,H. Lee Peterson,
The Incredibles,,United States,English,115,92000000,633000000,27/10/2004,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",8,90,,Brad Bird,John Walker,,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee', 'Samuel L. Jackson', 'Elizabeth Pe̱a']",Michael Giacchino,Buena Vista Pictures Distribution,"['Andrew Jimenez', 'Patrick Lin', 'Janet Lucroy']",Stephen Schaffer,
Pooh's Heffalump Movie,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,68,20000000,52900000,11/02/2005,"When Roo sets off on his own into the Hundred Acre Wood, he discovers a friendly and playful Heffalump named Lumpy.",6.4,64,80%,Frank Nissen,Jessica Koplos-Miller,Characters created by A. A. Milne,"['Jim Cummings', 'John Fiedler', 'Kath Soucie', 'Nikita Hopkins', 'Ken Sansom', 'Peter Cullen', 'Kyle Stanger', 'Brenda Blethyn']",Joel McNeely,Buena Vista Pictures,,,
Howl's Moving Castle,Studio Ghibli,Japan,Japanese,119,,,05/09/2004,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",8.2,80,87%,Hayao Miyazaki,Toshio Suzuki,"[""Howl's Moving Castle"", 'by', 'Diana Wynne Jones']","['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",Joe Hisaishi,Toho,Atsushi Okui,Takeshi Seyama,Hayao Miyazaki
Valiant,"['Vanguard Animation', 'Ealing Studios', 'UK Film Council', 'Take Film Partnerships', 'Odyssey Entertainment']","['United Kingdom', 'United States']",English,76,35000000,61700000,25/03/2005,"At the height of World War II, a tiny wood pigeon enlists in the elite Royal Homing Pigeon Service to serve Britain, as the fearsome General Von Talon (Tim Curry) and his deadly squadron of falcons patrol the English Channel. Is he a war-hero in the making?",5.5,45,32%,Gary Chapman,"['John H. Williams', 'Barnaby Thompson (executive producer)']",,"['Ewan McGregor', 'Ricky Gervais', 'Tim Curry', 'Jim Broadbent', 'Hugh Laurie', 'John Cleese', 'John Hurt', 'Pip Torrens', 'Rik Mayall', 'Olivia Williams']",George Fenton,"['Entertainment Film Distributors (UK)', 'Buena Vista Pictures (US)']",,,"['Jordan Katz', 'George Webster', 'George Melrod']"
